goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
abs ((a::int) + b) = abs (b + a),False,135.9583,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
map_option id o = o,False,135.6804,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
(A ⟶ B) ⟶ (¬B ⟶ ¬A),False,135.5359,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
map f (concat xss) = concat (map (map f) xss),False,134.7705,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
(m::nat) * (n + k) = m*n + m*k,False,135.1825,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
(f = g) ⟷ (∀x. f x = g x),False,136.7134,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
(m::nat) ≤ n ⟶ m ≤ n + k,False,135.4503,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
((a::int) - b) + c = a + (c - b),False,135.8471,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
Pow A ⊆ Pow B ⟷ A ⊆ B,False,136.2292,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
{x∈A. P x ∧ Q x} = {x∈A. P x} ∩ {x∈A. Q x},False,136.6147,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
converse Id = Id,False,135.8858,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
r O Id = r,False,135.2805,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
Id_on A ⊆ Id,False,136.0658,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
"fst (x,y) = x",False,136.2399,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
(A ⟶ B) ⟷ (¬A ∨ B),False,137.2729,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
Pow A ∩ Pow B = Pow (A ∩ B),False,137.1555,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
map Suc ([m..<m+n]) = [Suc m ..< Suc (m+n)],False,136.4591,auto,gemini:gemini-3-flash-preview,0,0,0,False,True
