goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
map snd (zip xs ys) = take (min (length xs) (length ys)) ys,True,1,41.45202708244324,gemini:gemini-3-flash-preview,False,90,2
distinct xs ⟷ length xs = length (remdups xs),True,1,44.35354709625244,gemini:gemini-3-flash-preview,False,92,2
set (filter P xs) = {x ∈ set xs. P x},True,1,26.597361087799072,gemini:gemini-3-flash-preview,False,94,2
(∀x. P x) ⟷ (¬ (∃x. ¬ P x)),True,1,24.469542741775513,gemini:gemini-3-flash-preview,False,96,2
Range (Id_on A) = A,True,1,24.489375829696655,gemini:gemini-3-flash-preview,False,98,2
case_sum f g (Inr y) = g y,True,1,21.674203872680664,gemini:gemini-3-flash-preview,False,100,2
(f(x := y)) x = y,True,1,20.477285861968994,gemini:gemini-3-flash-preview,False,102,2
(¬ A ∧ ¬ B) ⟷ ¬(A ∨ B),True,1,21.781420946121216,gemini:gemini-3-flash-preview,False,104,2
set (replicate n x) ⊆ {x},True,1,25.794683933258057,gemini:gemini-3-flash-preview,False,106,2
(A - B) ∩ B = {},True,1,23.722161054611206,gemini:gemini-3-flash-preview,False,108,2
(λx. x) = id,True,1,31.79035210609436,gemini:gemini-3-flash-preview,False,110,2
drop n (xs @ ys) = (drop n xs) @ (drop (n - length xs) ys),True,1,35.697760820388794,gemini:gemini-3-flash-preview,False,112,2
(Suc m ≤ Suc n) ⟷ (m ≤ n),True,1,24.239332914352417,gemini:gemini-3-flash-preview,False,114,2
f ` (A ∪ B) = (f ` A) ∪ (f ` B),True,1,23.469440937042236,gemini:gemini-3-flash-preview,False,116,2
remdups (remdups xs) = remdups xs,True,1,20.690346002578735,gemini:gemini-3-flash-preview,False,118,2
(A × (B ∩ C)) = (A × B) ∩ (A × C),True,1,28.553048849105835,gemini:gemini-3-flash-preview,False,120,2
(A ∧ (B ∨ C)) ⟶ ((A ∧ B) ∨ (A ∧ C)),True,1,27.809417009353638,gemini:gemini-3-flash-preview,False,122,2
((A ⟶ C) ∧ (B ⟶ C)) ⟶ (A ∨ B ⟶ C),True,1,24.645784854888916,gemini:gemini-3-flash-preview,False,124,2
set (rev xs) = set xs,True,1,16.22750473022461,gemini:gemini-3-flash-preview,False,126,2
(m::nat) ≤ n ⟷ (∃k. m + k = n),True,1,23.242817163467407,gemini:gemini-3-flash-preview,False,128,2
{x∈A. True} = A,True,1,18.224738121032715,gemini:gemini-3-flash-preview,False,130,2
sum_list (map (λ_. (k::nat)) xs) = k * length xs,False,1,61.51816201210022,gemini:gemini-3-flash-preview,False,139,1
inj f ⟷ (∀x y. f x = f y ⟶ x = y),True,1,18.796399116516113,gemini:gemini-3-flash-preview,False,141,2
max (a::int) b + c = max (a + c) (b + c),True,1,17.581048727035522,gemini:gemini-3-flash-preview,False,143,2
{x∈A. False} = {},True,1,16.47827696800232,gemini:gemini-3-flash-preview,False,145,2
(A ∧ (B ⟶ C)) ⟶ ((A ∧ B) ⟶ C),True,1,15.17442512512207,gemini:gemini-3-flash-preview,False,147,2
"snd (x,y) = y",True,1,18.320837259292603,gemini:gemini-3-flash-preview,False,149,2
take n xs = take n (xs @ ys) ⟷ n ≤ length xs,False,1,61.58980703353882,gemini:gemini-3-flash-preview,True,161,2
(a::int) + (b + c) = (a + b) + c,True,1,16.441097021102905,gemini:gemini-3-flash-preview,False,163,2
concat (map (λx. [x]) xs) = xs,True,1,15.751112937927246,gemini:gemini-3-flash-preview,False,165,2
min (a::int) b + c = min (a + c) (b + c),True,1,15.242232084274292,gemini:gemini-3-flash-preview,False,167,2
((A ∩ B) × C) = (A × C) ∩ (B × C),True,1,15.007356882095337,gemini:gemini-3-flash-preview,False,169,2
max (m::nat) n + k = max (m + k) (n + k),True,1,17.618509769439697,gemini:gemini-3-flash-preview,False,171,2
abs ((a::int) - c) ≤ abs (a - b) + abs (b - c),True,1,17.674224853515625,gemini:gemini-3-flash-preview,False,173,2
m ≤ max (m::nat) n,True,1,17.68827986717224,gemini:gemini-3-flash-preview,False,175,2
length (zip xs ys) = min (length xs) (length ys),True,1,17.331417083740234,gemini:gemini-3-flash-preview,False,177,2
(r O s) O t = r O (s O t),True,1,14.822507858276367,gemini:gemini-3-flash-preview,False,179,2
x ∈ (A ∪ B) ⟷ (x ∈ A ∨ x ∈ B),True,1,16.605432987213135,gemini:gemini-3-flash-preview,False,181,2
abs ((a::int) + b) = abs (b + a),True,1,22.409554958343506,gemini:gemini-3-flash-preview,False,183,2
map_option id o = o,False,1,53.042441844940186,gemini:gemini-3-flash-preview,False,197,1
(A ⟶ B) ⟶ (¬B ⟶ ¬A),True,1,14.981537103652954,gemini:gemini-3-flash-preview,False,199,2
map f (concat xss) = concat (map (map f) xss),True,1,18.634092092514038,gemini:gemini-3-flash-preview,False,201,2
(m::nat) * (n + k) = m*n + m*k,True,1,17.204659938812256,gemini:gemini-3-flash-preview,False,203,2
(f = g) ⟷ (∀x. f x = g x),True,1,15.320289134979248,gemini:gemini-3-flash-preview,False,205,2
(m::nat) ≤ n ⟶ m ≤ n + k,True,1,14.337785959243774,gemini:gemini-3-flash-preview,False,207,2
((a::int) - b) + c = a + (c - b),True,1,15.396667957305908,gemini:gemini-3-flash-preview,False,209,2
Pow A ⊆ Pow B ⟷ A ⊆ B,True,1,19.354304790496826,gemini:gemini-3-flash-preview,False,211,2
{x∈A. P x ∧ Q x} = {x∈A. P x} ∩ {x∈A. Q x},True,1,16.07259488105774,gemini:gemini-3-flash-preview,False,213,2
converse Id = Id,True,1,18.84376811981201,gemini:gemini-3-flash-preview,False,215,2
r O Id = r,True,1,14.954586029052734,gemini:gemini-3-flash-preview,False,217,2
Id_on A ⊆ Id,True,1,18.01107382774353,gemini:gemini-3-flash-preview,False,219,2
"fst (x,y) = x",True,1,17.156992197036743,gemini:gemini-3-flash-preview,False,221,2
(A ⟶ B) ⟷ (¬A ∨ B),True,1,18.52460503578186,gemini:gemini-3-flash-preview,False,223,2
Pow A ∩ Pow B = Pow (A ∩ B),True,1,18.285287141799927,gemini:gemini-3-flash-preview,False,225,2
map Suc ([m..<m+n]) = [Suc m ..< Suc (m+n)],True,1,18.64116668701172,gemini:gemini-3-flash-preview,False,227,2
