goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
(if A then (B ⟶ C) else True) ⟷ (¬ A ∨ (B ⟶ C)),True,1,14.635672092437744,gemini:gemini-3-flash-preview,False,439,2
(∀x. f x = g x) ⟶ (∃!x. f x = a) ⟶ (∃!x. g x = a),True,1,14.685239791870117,gemini:gemini-3-flash-preview,False,441,2
(∀x∈A. f x = g x) ⟹ f ` A = g ` A,True,1,15.445501327514648,gemini:gemini-3-flash-preview,False,443,2
xs ≠ [] ⟹ nth (rev xs) i = nth xs (length xs - Suc i) ⟷ i < length xs,False,2,205.54817914962769,gemini:gemini-3-flash-preview,True,496,3
finite A ⟹ sum (λx. c::int) A = c * int (card A),True,1,19.959968328475952,gemini:gemini-3-flash-preview,False,498,2
set (dropWhile P xs) ⊆ set xs,True,1,19.829315900802612,gemini:gemini-3-flash-preview,False,501,2
{x∈A. P x} ∩ {x∈A. ¬ P x} = {},True,1,14.541656970977783,gemini:gemini-3-flash-preview,False,503,2
sum (λi. (k::nat)) {..<m} = m * k,True,1,15.94234323501587,gemini:gemini-3-flash-preview,False,505,2
finite A ⟹ sum (λx. f x + g x::int) A = sum f A + sum g A,True,1,21.030544757843018,gemini:gemini-3-flash-preview,False,508,2
(∀x. P x ⟶ Q x) ∧ (∃x. P x) ⟶ (∃x. Q x),True,1,16.019068956375122,gemini:gemini-3-flash-preview,False,510,2
sum (λ_. (1::nat)) {..<m} = m,True,1,17.57157588005066,gemini:gemini-3-flash-preview,False,512,2
r ⊆ s ⟹ trancl r ⊆ trancl s,True,1,19.190361738204956,gemini:gemini-3-flash-preview,False,515,2
length [m..<n] + length [n..<p] = length [m..<p],False,2,130.09092807769775,gemini:gemini-3-flash-preview,False,545,2
Domain (converse r) = Range r,True,1,16.818854093551636,gemini:gemini-3-flash-preview,False,547,2
foldr f b (xs @ ys) = foldr f (foldr f b ys) xs,False,3,210.97483277320862,gemini:gemini-3-flash-preview,False,595,3
finite A ⟹ finite B ⟹ card ((A - C) × (B - D)) = (card A - card (A ∩ C)) * (card B - card (B ∩ D)),True,2,82.55756688117981,gemini:gemini-3-flash-preview,False,613,3
map f (drop n xs) = drop n (map f xs),True,1,15.420151710510254,gemini:gemini-3-flash-preview,False,615,2
zip (drop n xs) (drop n ys) = drop n (zip xs ys),True,1,15.50325894355774,gemini:gemini-3-flash-preview,False,617,2
length (takeWhile P xs) + length (dropWhile P xs) = length xs,True,1,16.50703191757202,gemini:gemini-3-flash-preview,False,619,2
f ∘ (λx. x) = f,True,1,31.222668170928955,gemini:gemini-3-flash-preview,False,623,2
finite A ⟹ card (SIGMA x∈A. F x) = sum (λx. card (F x)) A,False,1,50.44128203392029,gemini:gemini-3-flash-preview,False,637,1
finite A ⟹ card (A ∩ B) = card A - card (A - B),True,1,22.47761106491089,gemini:gemini-3-flash-preview,False,639,2
foldl f a (xs @ ys) = foldl f (foldl f a xs) ys,True,1,16.952813863754272,gemini:gemini-3-flash-preview,False,641,2
abs ((a::int) - c) ≤ abs (a - b) + abs (b - c),True,1,17.360974073410034,gemini:gemini-3-flash-preview,False,643,2
(if A then f x else f y) = f (if A then x else y),True,1,15.147576093673706,gemini:gemini-3-flash-preview,False,645,2
Range (converse r) = Domain r,True,1,15.906679153442383,gemini:gemini-3-flash-preview,False,647,2
nth (xs @ ys) i = nth xs i ⟷ i < length xs,False,2,205.64005613327026,gemini:gemini-3-flash-preview,True,695,3
finite A ⟹ card {x∈A. P x ∧ Q x} + card {x∈A. P x ∧ ¬ Q x} = card {x∈A. P x},False,1,112.69609498977661,gemini:gemini-3-flash-preview,False,719,1
sum_list (replicate n k) = n * k,True,1,20.854148149490356,gemini:gemini-3-flash-preview,False,721,2
map snd (zip xs ys) = take (min (length xs) (length ys)) ys,True,1,17.046224117279053,gemini:gemini-3-flash-preview,False,723,2
finite A ⟹ inj_on f A ⟹ card (f ` A) = card A,True,1,14.460312128067017,gemini:gemini-3-flash-preview,False,725,2
finite A ⟹ sum (λx. (if P x then (1::nat) else 0)) A = card {x∈A. P x},False,1,65.97675490379333,gemini:gemini-3-flash-preview,False,739,1
finite A ⟹ card (A ∪ B) + card (A ∩ B) = card A + card B,False,1,66.16778612136841,gemini:gemini-3-flash-preview,False,753,1
finite A ⟹ inj_on f A ⟹ sum (λx. (1::nat)) (f ` A) = card A,True,1,19.972952842712402,gemini:gemini-3-flash-preview,False,756,2
finite A ⟹ finite B ⟹ (A ⊆ B) ⟷ (card A = card (A ∩ B)),True,1,20.397222995758057,gemini:gemini-3-flash-preview,False,758,2
(map Suc [m..<n]) = [Suc m ..< Suc n],True,1,17.243903875350952,gemini:gemini-3-flash-preview,False,761,2
(∃x. P x ∧ (Q x ⟶ R x)) ⟶ ((∃x. P x ∧ Q x) ⟶ (∃x. R x)),False,2,200.7770369052887,gemini:gemini-3-flash-preview,False,817,2
finite A ⟹ card ((A × B) ∩ (C × D)) = card (A ∩ C) * card (B ∩ D),True,1,17.032855987548828,gemini:gemini-3-flash-preview,False,819,2
rotate (i + j) xs = rotate i (rotate j xs),True,1,15.55050015449524,gemini:gemini-3-flash-preview,False,821,2
